date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Jul%202025%2009:41:53%20GMT	https://facebook.com/login	facebook_clone/facebook.com/login.0.delayed	(from )
15:11:53	60879/60879	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:41:54%20GMT	https://www.facebook.com/login	facebook_clone/www.facebook.com/login.html	(from )
15:11:54	1389/1389	---M-Z	200	added ('OK')	text/plain	date:Fri,%2011%20Jul%202025%2006:32:14%20GMT	https://www.facebook.com/robots.txt		(from )
15:11:55	58456/58456	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:41:56%20GMT	https://www.facebook.com/login?_fb_noscript=1	facebook_clone/www.facebook.com/login4964.html	(from https://www.facebook.com/login)
15:11:56	108350/108350	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:41:57%20GMT	https://www.facebook.com/r.php?locale=en_GB&display=page	facebook_clone/www.facebook.com/r6670.html	(from https://www.facebook.com/login)
15:11:56	1252/1252	---MCZ	200	added ('OK')	application/json	date:Fri,%2011%20Jul%202025%2009:41:58%20GMT	https://www.facebook.com/data/manifest/?is_workplace_mobile_pwa_dogfooding=0	facebook_clone/www.facebook.com/data/manifest/index1e5b.html	(from https://www.facebook.com/login)
15:11:56	58577/58577	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:41:58%20GMT	https://www.facebook.com/login/web/	facebook_clone/www.facebook.com/login/web/index.html	(from https://www.facebook.com/login)
15:11:56	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Jul%202025%2009:41:58%20GMT	https://www.facebook.com/recover/initiate/?ars=facebook_login&cancel_lara_pswd=0	facebook_clone/www.facebook.com/recover/initiate/index67a9.html	(from https://www.facebook.com/login)
15:11:57	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Jul%202025%2009:41:59%20GMT	https://www.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto	facebook_clone/www.facebook.com/ad_campaign/landing8031.php	(from https://www.facebook.com/login)
15:11:58	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Jul%202025%2009:42:00%20GMT	https://www.facebook.com/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D	facebook_clone/www.facebook.com/votinginformationcenter/indexb3e6.html	(from https://www.facebook.com/login)
15:11:58	55290/55290	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:42:00%20GMT	https://www.facebook.com/lite/	facebook_clone/www.facebook.com/lite/index.html	(from https://www.facebook.com/login)
15:11:58	107629/107629	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:42:01%20GMT	https://www.facebook.com/reg/	facebook_clone/www.facebook.com/reg/index.html	(from https://www.facebook.com/login)
15:12:00	683920/683920	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:42:00%20GMT	https://www.facebook.com/watch/	facebook_clone/www.facebook.com/watch/index.html	(from https://www.facebook.com/login)
15:12:00	1247630/1247630	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:42:01%20GMT	https://www.facebook.com/help/568137493302217	facebook_clone/www.facebook.com/help/568137493302217.html	(from https://www.facebook.com/login)
